Rating,ID,Title,Title Slug,Difficulty,premium,status
2368.6674771307,2556,Disconnect Path in a Binary Matrix by at Most One Flip,disconnect-path-in-a-binary-matrix-by-at-most-one-flip,Medium,False,
2367.4705934718,2801,Count Stepping Numbers in Range,count-stepping-numbers-in-range,Hard,False,
2366.7099607655,1183,Maximum Number of Ones,maximum-number-of-ones,Hard,True,
2364.8208393306,3177,Find the Maximum Length of a Good Subsequence II,find-the-maximum-length-of-a-good-subsequence-ii,Hard,False,
2364.3930657709,2132,Stamping the Grid,stamping-the-grid,Hard,False,
2364.3455634374,2203,Minimum Weighted Subgraph With the Required Paths,minimum-weighted-subgraph-with-the-required-paths,Hard,False,
2363.5096568214,1755,Closest Subsequence Sum,closest-subsequence-sum,Hard,False,
2363.0240184484,2312,Selling Pieces of Wood,selling-pieces-of-wood,Hard,False,
2362.6480880348,1520,Maximum Number of Non-Overlapping Substrings,maximum-number-of-non-overlapping-substrings,Hard,False,
2358.9669560824,1707,Maximum XOR With an Element From Array,maximum-xor-with-an-element-from-array,Hard,False,
2356.5811122453,1467,Probability of a Two Boxes Having The Same Number of Distinct Balls,probability-of-a-two-boxes-having-the-same-number-of-distinct-balls,Hard,False,
2354.5411153127,2719,Count of Integers,count-of-integers,Hard,False,
2351.2293628792,2999,Count the Number of Powerful Integers,count-the-number-of-powerful-integers,Hard,False,
2350.9694374861,1713,Minimum Operations to Make a Subsequence,minimum-operations-to-make-a-subsequence,Hard,False,
2350.7421492104,2920,Maximum Points After Collecting Coins From All Nodes,maximum-points-after-collecting-coins-from-all-nodes,Hard,False,
2350.0380300939,837,New 21 Game,new-21-game,Medium,False,
2348.7273357105,2935,Maximum Strong Pair XOR II,maximum-strong-pair-xor-ii,Hard,False,
2348.5159376523,1096,Brace Expansion II,brace-expansion-ii,Hard,False,
2346.5717839654,2258,Escape the Spreading Fire,escape-the-spreading-fire,Hard,False,
2345.3418191684,1611,Minimum One Bit Operations to Make Integers Zero,minimum-one-bit-operations-to-make-integers-zero,Hard,False,
2344.3664724791,2478,Number of Beautiful Partitions,number-of-beautiful-partitions,Hard,False,
2341.4506355884,810,Chalkboard XOR Game,chalkboard-xor-game,Hard,False,
2336.5210003185,1505,Minimum Possible Integer After at Most K Adjacent Swaps On Digits,minimum-possible-integer-after-at-most-k-adjacent-swaps-on-digits,Hard,False,
2333.2401505813,1674,Minimum Moves to Make Array Complementary,minimum-moves-to-make-array-complementary,Medium,False,
2333.0621537307,1866,Number of Ways to Rearrange Sticks With K Sticks Visible,number-of-ways-to-rearrange-sticks-with-k-sticks-visible,Hard,False,
2333.0078041754,1585,Check If String Is Transformable With Substring Sort Operations,check-if-string-is-transformable-with-substring-sort-operations,Hard,False,
2328.4294689238,882,Reachable Nodes In Subdivided Graph,reachable-nodes-in-subdivided-graph,Hard,False,
2327.5726642605,3045,Count Prefix and Suffix Pairs II,count-prefix-and-suffix-pairs-ii,Hard,False,
2327.4743300299,2940,Find Building Where Alice and Bob Can Meet,find-building-where-alice-and-bob-can-meet,Hard,False,
2324.1192580053,2827,Number of Beautiful Integers in the Range,number-of-beautiful-integers-in-the-range,Hard,False,
2315.6037017989,1187,Make Array Strictly Increasing,make-array-strictly-increasing,Hard,False,
2315.0547336936,2188,Minimum Time to Finish the Race,minimum-time-to-finish-the-race,Hard,False,
2312.9919953644,1857,Largest Color Value in a Directed Graph,largest-color-value-in-a-directed-graph,Hard,False,
2310.3824631335,1959,Minimum Total Space Wasted With K Resizing Operations,minimum-total-space-wasted-with-k-resizing-operations,Medium,False,
2308.6545905335,1617,Count Subtrees With Max Distance Between Cities,count-subtrees-with-max-distance-between-cities,Hard,False,
2307.0161713185,1655,Distribute Repeating Integers,distribute-repeating-integers,Hard,False,
2306.8472649456,862,Shortest Subarray with Sum at Least K,shortest-subarray-with-sum-at-least-k,Hard,False,
2305.4498281454,2306,Naming a Company,naming-a-company,Hard,False,
2304.3094138939,2242,Maximum Score of a Node Sequence,maximum-score-of-a-node-sequence,Hard,False,
2302.4005640818,2513,Minimize the Maximum of Two Arrays,minimize-the-maximum-of-two-arrays,Medium,False,
2301.4069974024,2897,Apply Operations on Array to Maximize Sum of Squares,apply-operations-on-array-to-maximize-sum-of-squares,Hard,False,
2300.1557840589,1697,Checking Existence of Edge Length Limited Paths,checking-existence-of-edge-length-limited-paths,Hard,False,
2298.6242048519,2458,Height of Binary Tree After Subtree Removal Queries,height-of-binary-tree-after-subtree-removal-queries,Hard,False,
2297.105362516,1263,Minimum Moves to Move a Box to Their Target Location,minimum-moves-to-move-a-box-to-their-target-location,Hard,False,
2294.8289305714,2858,Minimum Edge Reversals So Every Node Is Reachable,minimum-edge-reversals-so-every-node-is-reachable,Hard,False,
2294.0981174197,932,Beautiful Array,beautiful-array,Medium,False,
2292.1434666805,761,Special Binary String,special-binary-string,Hard,False,
2291.6794536377,2862,Maximum Element-Sum of a Complete Subset of Indices,maximum-element-sum-of-a-complete-subset-of-indices,Hard,False,
2290.9040038639,1591,Strange Printer II,strange-printer-ii,Hard,False,
2288.2117442123,1569,Number of Ways to Reorder Array to Get Same BST,number-of-ways-to-reorder-array-to-get-same-bst,Hard,False,
2286.1378742318,1851,Minimum Interval to Include Each Query,minimum-interval-to-include-each-query,Hard,False,
2284.4463940346,1723,Find Minimum Time to Finish All Jobs,find-minimum-time-to-finish-all-jobs,Hard,False,
2281.8816902545,2659,Make Array Empty,make-array-empty,Hard,False,
2280.3143643878,2407,Longest Increasing Subsequence II,longest-increasing-subsequence-ii,Hard,False,
2277.9557248587,3031,Minimum Time to Revert Word to Initial State II,minimum-time-to-revert-word-to-initial-state-ii,Hard,False,
2277.7923804151,2763,Sum of Imbalance Numbers of All Subarrays,sum-of-imbalance-numbers-of-all-subarrays,Hard,False,
2277.3595662538,2029,Stone Game IX,stone-game-ix,Medium,False,
2277.0238076464,749,Contain Virus,contain-virus,Hard,False,
2276.9256951751,2973,Find Number of Coins to Place in Tree Nodes,find-number-of-coins-to-place-in-tree-nodes,Hard,False,
2276.4233585631,1498,Number of Subsequences That Satisfy the Given Sum Condition,number-of-subsequences-that-satisfy-the-given-sum-condition,Medium,False,
2275.7337818748,1606,Find Servers That Handled Most Number of Requests,find-servers-that-handled-most-number-of-requests,Hard,False,
