ID,Title,Title Slug,Difficulty,premium,status
383,Ransom Note,ransom-note,Easy,False,
384,Shuffle an Array,shuffle-an-array,Medium,False,
385,Mini Parser,mini-parser,Medium,False,
386,Lexicographical Numbers,lexicographical-numbers,Medium,False,
387,First Unique Character in a String,first-unique-character-in-a-string,Easy,False,
388,Longest Absolute File Path,longest-absolute-file-path,Medium,False,
389,Find the Difference,find-the-difference,Easy,False,ac
390,Elimination Game,elimination-game,Medium,False,
391,Perfect Rectangle,perfect-rectangle,Hard,False,
392,Is Subsequence,is-subsequence,Easy,False,
393,UTF-8 Validation,utf-8-validation,Medium,False,
394,Decode String,decode-string,Medium,False,
395,Longest Substring with At Least K Repeating Characters,longest-substring-with-at-least-k-repeating-characters,Medium,False,
396,Rotate Function,rotate-function,Medium,False,
397,Integer Replacement,integer-replacement,Medium,False,
398,Random Pick Index,random-pick-index,Medium,False,
399,Evaluate Division,evaluate-division,Medium,False,
400,Nth Digit,nth-digit,Medium,False,
401,Binary Watch,binary-watch,Easy,False,
402,Remove K Digits,remove-k-digits,Medium,False,
403,Frog Jump,frog-jump,Hard,False,
404,Sum of Left Leaves,sum-of-left-leaves,Easy,False,
405,Convert a Number to Hexadecimal,convert-a-number-to-hexadecimal,Easy,False,
406,Queue Reconstruction by Height,queue-reconstruction-by-height,Medium,False,
407,Trapping Rain Water II,trapping-rain-water-ii,Hard,False,
408,Valid Word Abbreviation,valid-word-abbreviation,Easy,True,
409,Longest Palindrome,longest-palindrome,Easy,False,
410,Split Array Largest Sum,split-array-largest-sum,Hard,False,
411,Minimum Unique Word Abbreviation,minimum-unique-word-abbreviation,Hard,True,
412,Fizz Buzz,fizz-buzz,Easy,False,
413,Arithmetic Slices,arithmetic-slices,Medium,False,
414,Third Maximum Number,third-maximum-number,Easy,False,
415,Add Strings,add-strings,Easy,False,
416,Partition Equal Subset Sum,partition-equal-subset-sum,Medium,False,
417,Pacific Atlantic Water Flow,pacific-atlantic-water-flow,Medium,False,
418,Sentence Screen Fitting,sentence-screen-fitting,Medium,True,
419,Battleships in a Board,battleships-in-a-board,Medium,False,
420,Strong Password Checker,strong-password-checker,Hard,False,
421,Maximum XOR of Two Numbers in an Array,maximum-xor-of-two-numbers-in-an-array,Medium,False,
422,Valid Word Square,valid-word-square,Easy,True,
423,Reconstruct Original Digits from English,reconstruct-original-digits-from-english,Medium,False,
424,Longest Repeating Character Replacement,longest-repeating-character-replacement,Medium,False,
425,Word Squares,word-squares,Hard,True,
426,Convert Binary Search Tree to Sorted Doubly Linked List,convert-binary-search-tree-to-sorted-doubly-linked-list,Medium,True,
